,Name,Miles_per_Gallon,Cylinders,Displacement,Horsepower,Weight_in_lbs,Acceleration,Year,Origin
0,chevrolet chevelle malibu,18.0,8,307.0,130.0,3504,12.0,1970-01-01,USA
1,buick skylark 320,15.0,8,350.0,165.0,3693,11.5,1970-01-01,USA
2,plymouth satellite,18.0,8,318.0,150.0,3436,11.0,1970-01-01,USA
3,amc rebel sst,16.0,8,304.0,150.0,3433,12.0,1970-01-01,USA
4,ford torino,17.0,8,302.0,140.0,3449,10.5,1970-01-01,USA
5,ford galaxie 500,15.0,8,429.0,198.0,4341,10.0,1970-01-01,USA
6,chevrolet impala,14.0,8,454.0,220.0,4354,9.0,1970-01-01,USA
7,plymouth fury iii,14.0,8,440.0,215.0,4312,8.5,1970-01-01,USA
8,pontiac catalina,14.0,8,455.0,225.0,4425,10.0,1970-01-01,USA
9,amc ambassador dpl,15.0,8,390.0,190.0,3850,8.5,1970-01-01,USA
10,citroen ds-21 pallas,,4,133.0,115.0,3090,17.5,1970-01-01,Europe
11,chevrolet chevelle concours (sw),,8,350.0,165.0,4142,11.5,1970-01-01,USA
12,ford torino (sw),,8,351.0,153.0,4034,11.0,1970-01-01,USA
13,plymouth satellite (sw),,8,383.0,175.0,4166,10.5,1970-01-01,USA
14,amc rebel sst (sw),,8,360.0,175.0,3850,11.0,1970-01-01,USA
15,dodge challenger se,15.0,8,383.0,170.0,3563,10.0,1970-01-01,USA
16,plymouth 'cuda 340,14.0,8,340.0,160.0,3609,8.0,1970-01-01,USA
17,ford mustang boss 302,,8,302.0,140.0,3353,8.0,1970-01-01,USA
18,chevrolet monte carlo,15.0,8,400.0,150.0,3761,9.5,1970-01-01,USA
19,buick estate wagon (sw),14.0,8,455.0,225.0,3086,10.0,1970-01-01,USA
20,toyota corona mark ii,24.0,4,113.0,95.0,2372,15.0,1970-01-01,Japan
21,plymouth duster,22.0,6,198.0,95.0,2833,15.5,1970-01-01,USA
22,amc hornet,18.0,6,199.0,97.0,2774,15.5,1970-01-01,USA
23,ford maverick,21.0,6,200.0,85.0,2587,16.0,1970-01-01,USA
24,datsun pl510,27.0,4,97.0,88.0,2130,14.5,1970-01-01,Japan
25,volkswagen 1131 deluxe sedan,26.0,4,97.0,46.0,1835,20.5,1970-01-01,Europe
26,peugeot 504,25.0,4,110.0,87.0,2672,17.5,1970-01-01,Europe
27,audi 100 ls,24.0,4,107.0,90.0,2430,14.5,1970-01-01,Europe
28,saab 99e,25.0,4,104.0,95.0,2375,17.5,1970-01-01,Europe
29,bmw 2002,26.0,4,121.0,113.0,2234,12.5,1970-01-01,Europe
30,amc gremlin,21.0,6,199.0,90.0,2648,15.0,1970-01-01,USA
31,ford f250,10.0,8,360.0,215.0,4615,14.0,1970-01-01,USA
32,chevy c20,10.0,8,307.0,200.0,4376,15.0,1970-01-01,USA
33,dodge d200,11.0,8,318.0,210.0,4382,13.5,1970-01-01,USA
34,hi 1200d,9.0,8,304.0,193.0,4732,18.5,1970-01-01,USA
35,datsun pl510,27.0,4,97.0,88.0,2130,14.5,1971-01-01,Japan
36,chevrolet vega 2300,28.0,4,140.0,90.0,2264,15.5,1971-01-01,USA
37,toyota corona,25.0,4,113.0,95.0,2228,14.0,1971-01-01,Japan
38,ford pinto,25.0,4,98.0,,2046,19.0,1971-01-01,USA
39,volkswagen super beetle 117,,4,97.0,48.0,1978,20.0,1971-01-01,Europe
40,amc gremlin,19.0,6,232.0,100.0,2634,13.0,1971-01-01,USA
